mHistId,dHistId,cAbbreviation,mId,mLongName,mShortName,mEntryMode,mStatus,mAdmissionNumber,mAdmissionMode,mAdmissionDate,mAbolitionNumber,mAbolitionMode,mAbolitionDate,mDateOfChange
10052,10193,GR,3571,Castrisch,Castrisch,Municipality,1,1000,First-time registration,1960-01-01,1969,Reassignment to other d/c,2000-12-31,2000-12-31
10053,10190,GR,3561,Poschiavo,Poschiavo,Municipality,1,1000,First-time registration,1960-01-01,1968,Reassignment to other d/c,2000-12-31,2000-12-31
10054,10190,GR,3551,Brusio,Brusio,Municipality,1,1000,First-time registration,1960-01-01,1967,Reassignment to other d/c,2000-12-31,2000-12-31
10055,10024,AG,4080,Villmergen,Villmergen,Municipality,1,1000,First-time registration,1960-01-01,3168,Change of area,2009-12-31,2009-12-31
10056,10189,GR,3540,Sur,Sur,Municipality,1,1000,First-time registration,1960-01-01,1965,Reassignment to other d/c,2000-12-31,2000-12-31
10057,10189,GR,3539,Savognin,Savognin,Municipality,1,1000,First-time registration,1960-01-01,1964,Reassignment to other d/c,2000-12-31,2000-12-31
10058,10189,GR,3538,Salouf,Salouf,Municipality,1,1000,First-time registration,1960-01-01,1963,Reassignment to other d/c,2000-12-31,2000-12-31
10059,10189,GR,3534,Mulegns,Mulegns,Municipality,1,1000,First-time registration,1960-01-01,1961,Reassignment to other d/c,2000-12-31,2000-12-31
10060,10193,GR,3581,Sagogn,Sagogn,Municipality,1,1000,First-time registration,1960-01-01,1979,Reassignment to other d/c,2000-12-31,2000-12-31
10061,10174,SG,3272,Gams,Gams,Municipality,1,1000,First-time registration,1960-01-01,2206,Reassignment to other d/c,2002-12-31,2002-12-31
10062,10192,SG,3405,Jonschwil,Jonschwil,Municipality,1,1000,First-time registration,1960-01-01,2254,Reassignment to other d/c,2002-12-31,2002-12-31
10063,10194,SG,3311,Amden,Amden,Municipality,1,1000,First-time registration,1960-01-01,2219,Reassignment to other d/c,2002-12-31,2002-12-31
10064,10161,SG,3298,Walenstadt,Walenstadt,Municipality,1,1000,First-time registration,1960-01-01,2218,Reassignment to other d/c,2002-12-31,2002-12-31
10065,10039,VD,5863,Vinzel,Vinzel,Municipality,1,1000,First-time registration,1960-01-01,2665,Reassignment to other d/c,2006-08-31,2006-08-31
10066,10161,SG,3296,Sargans,Sargans,Municipality,1,1000,First-time registration,1960-01-01,2216,Reassignment to other d/c,2002-12-31,2002-12-31
10067,10161,SG,3295,Quarten,Quarten,Municipality,1,1000,First-time registration,1960-01-01,2215,Reassignment to other d/c,2002-12-31,2002-12-31
10068,10161,SG,3294,Pfäfers,Pfäfers,Municipality,1,1000,First-time registration,1960-01-01,2214,Reassignment to other d/c,2002-12-31,2002-12-31
10069,10161,SG,3293,Mels,Mels,Municipality,1,1000,First-time registration,1960-01-01,2213,Reassignment to other d/c,2002-12-31,2002-12-31
10070,10161,SG,3292,Flums,Flums,Municipality,1,1000,First-time registration,1960-01-01,2212,Reassignment to other d/c,2002-12-31,2002-12-31
10071,10161,SG,3291,Bad Ragaz,Bad Ragaz,Municipality,1,1000,First-time registration,1960-01-01,2211,Reassignment to other d/c,2002-12-31,2002-12-31
10072,10174,SG,3276,Wartau,Wartau,Municipality,1,1000,First-time registration,1960-01-01,2210,Reassignment to other d/c,2002-12-31,2002-12-31
10073,10174,SG,3275,Sevelen,Sevelen,Municipality,1,1000,First-time registration,1960-01-01,2209,Reassignment to other d/c,2002-12-31,2002-12-31
10074,10194,SG,3313,Kaltbrunn,Kaltbrunn,Municipality,1,1000,First-time registration,1960-01-01,2221,Reassignment to other d/c,2002-12-31,2002-12-31
10075,10174,SG,3273,Grabs,Grabs,Municipality,1,1000,First-time registration,1960-01-01,2207,Reassignment to other d/c,2002-12-31,2002-12-31
10076,10194,SG,3314,Rieden,Rieden,Municipality,1,1000,First-time registration,1960-01-01,2222,Reassignment to other d/c,2002-12-31,2002-12-31
10077,10174,SG,3271,Buchs (SG),Buchs (SG),Municipality,1,1000,First-time registration,1960-01-01,2205,Reassignment to other d/c,2002-12-31,2002-12-31
10078,10013,VS,6158,Vionnaz,Vionnaz,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10079,10173,SG,3255,Rebstein,Rebstein,Municipality,1,1000,First-time registration,1960-01-01,2203,Reassignment to other d/c,2002-12-31,2002-12-31
10080,10173,SG,3254,Oberriet (SG),Oberriet (SG),Municipality,1,1000,First-time registration,1960-01-01,2202,Reassignment to other d/c,2002-12-31,2002-12-31
10081,10173,SG,3253,Marbach (SG),Marbach (SG),Municipality,1,1000,First-time registration,1960-01-01,2201,Reassignment to other d/c,2002-12-31,2002-12-31
10082,10173,SG,3252,Eichberg,Eichberg,Municipality,1,1000,First-time registration,1960-01-01,2200,Reassignment to other d/c,2002-12-31,2002-12-31
10083,10173,SG,3251,Altstätten,Altstätten,Municipality,1,1000,First-time registration,1960-01-01,2199,Reassignment to other d/c,2002-12-31,2002-12-31
10084,10172,SG,3238,Widnau,Widnau,Municipality,1,1000,First-time registration,1960-01-01,2198,Reassignment to other d/c,2002-12-31,2002-12-31
10085,10172,SG,3237,Thal,Thal,Municipality,1,1000,First-time registration,1960-01-01,2197,Reassignment to other d/c,2002-12-31,2002-12-31
10086,10172,SG,3236,St. Margrethen,St. Margrethen,Municipality,1,1000,First-time registration,1960-01-01,2196,Reassignment to other d/c,2002-12-31,2002-12-31
10087,10172,SG,3235,Rheineck,Rheineck,Municipality,1,1000,First-time registration,1960-01-01,2195,Reassignment to other d/c,2002-12-31,2002-12-31
10088,10172,SG,3234,Diepoldsau,Diepoldsau,Municipality,1,1000,First-time registration,1960-01-01,2194,Reassignment to other d/c,2002-12-31,2002-12-31
10089,10167,GR,3911,Churwalden,Churwalden,Municipality,1,1000,First-time registration,1960-01-01,2118,Reassignment to other d/c,2000-12-31,2000-12-31
10090,10174,SG,3274,Sennwald,Sennwald,Municipality,1,1000,First-time registration,1960-01-01,2208,Reassignment to other d/c,2002-12-31,2002-12-31
10091,10202,SG,3355,Nesslau,Nesslau,Municipality,1,1000,First-time registration,1960-01-01,2237,Reassignment to other d/c,2002-12-31,2002-12-31
10092,10192,SG,3401,Degersheim,Degersheim,Municipality,1,1000,First-time registration,1960-01-01,2251,Reassignment to other d/c,2002-12-31,2002-12-31
10093,10196,SG,3394,Mosnang,Mosnang,Municipality,1,1000,First-time registration,1960-01-01,2250,Reassignment to other d/c,2002-12-31,2002-12-31
10094,10196,SG,3393,Lütisburg,Lütisburg,Municipality,1,1000,First-time registration,1960-01-01,2249,Reassignment to other d/c,2002-12-31,2002-12-31
10095,10196,SG,3392,Kirchberg (SG),Kirchberg (SG),Municipality,1,1000,First-time registration,1960-01-01,2248,Reassignment to other d/c,2002-12-31,2002-12-31
10096,10196,SG,3391,Bütschwil,Bütschwil,Municipality,1,1000,First-time registration,1960-01-01,2247,Reassignment to other d/c,2002-12-31,2002-12-31
10097,10201,SG,3377,Wattwil,Wattwil,Municipality,1,1000,First-time registration,1960-01-01,2246,Reassignment to other d/c,2002-12-31,2002-12-31
10098,10201,SG,3376,St. Peterzell,St. Peterzell,Municipality,1,1000,First-time registration,1960-01-01,2245,Reassignment to other d/c,2002-12-31,2002-12-31
10099,10201,SG,3375,Oberhelfenschwil,Oberhelfenschwil,Municipality,1,1000,First-time registration,1960-01-01,2244,Reassignment to other d/c,2002-12-31,2002-12-31
10100,10201,SG,3374,Lichtensteig,Lichtensteig,Municipality,1,1000,First-time registration,1960-01-01,2243,Reassignment to other d/c,2002-12-31,2002-12-31
10101,10201,SG,3373,Krinau,Krinau,Municipality,1,1000,First-time registration,1960-01-01,2242,Reassignment to other d/c,2002-12-31,2002-12-31
10102,10201,SG,3372,Hemberg,Hemberg,Municipality,1,1000,First-time registration,1960-01-01,2241,Reassignment to other d/c,2002-12-31,2002-12-31
10103,10201,SG,3371,Brunnadern,Brunnadern,Municipality,1,1000,First-time registration,1960-01-01,2240,Reassignment to other d/c,2002-12-31,2002-12-31
10104,10194,SG,3312,Benken (SG),Benken (SG),Municipality,1,1000,First-time registration,1960-01-01,2220,Reassignment to other d/c,2002-12-31,2002-12-31
10105,10161,SG,3297,Vilters,Vilters,Municipality,1,1000,First-time registration,1960-01-01,1889,Change of name (m),1996-05-31,1996-05-31
10106,10193,GR,3600,Surcuolm,Surcuolm,Municipality,1,1000,First-time registration,1960-01-01,1993,Reassignment to other d/c,2000-12-31,2000-12-31
10107,10202,SG,3354,Krummenau,Krummenau,Municipality,1,1000,First-time registration,1960-01-01,2236,Reassignment to other d/c,2002-12-31,2002-12-31
10108,10202,SG,3351,Alt St. Johann,Alt St. Johann,Municipality,1,1000,First-time registration,1960-01-01,2234,Reassignment to other d/c,2002-12-31,2002-12-31
10109,10203,SG,3339,Uznach,Uznach,Municipality,1,1000,First-time registration,1960-01-01,2233,Reassignment to other d/c,2002-12-31,2002-12-31
10110,10203,SG,3338,Schmerikon,Schmerikon,Municipality,1,1000,First-time registration,1960-01-01,2232,Reassignment to other d/c,2002-12-31,2002-12-31
10111,10203,SG,3337,St. Gallenkappel,St. Gallenkappel,Municipality,1,1000,First-time registration,1960-01-01,2231,Reassignment to other d/c,2002-12-31,2002-12-31
10112,10203,SG,3336,Rapperswil (SG),Rapperswil (SG),Municipality,1,1000,First-time registration,1960-01-01,2230,Reassignment to other d/c,2002-12-31,2002-12-31
10113,10203,SG,3335,Jona,Jona,Municipality,1,1000,First-time registration,1960-01-01,2229,Reassignment to other d/c,2002-12-31,2002-12-31
10114,10203,SG,3334,Gommiswald,Gommiswald,Municipality,1,1000,First-time registration,1960-01-01,2228,Reassignment to other d/c,2002-12-31,2002-12-31
10115,10203,SG,3333,Goldingen,Goldingen,Municipality,1,1000,First-time registration,1960-01-01,2227,Reassignment to other d/c,2002-12-31,2002-12-31
10116,10203,SG,3332,Eschenbach (SG),Eschenbach (SG),Municipality,1,1000,First-time registration,1960-01-01,2226,Reassignment to other d/c,2002-12-31,2002-12-31
10117,10203,SG,3331,Ernetschwil,Ernetschwil,Municipality,1,1000,First-time registration,1960-01-01,2225,Reassignment to other d/c,2002-12-31,2002-12-31
10118,10194,SG,3316,Weesen,Weesen,Municipality,1,1000,First-time registration,1960-01-01,2224,Reassignment to other d/c,2002-12-31,2002-12-31
10119,10194,SG,3315,Schänis,Schänis,Municipality,1,1000,First-time registration,1960-01-01,2223,Reassignment to other d/c,2002-12-31,2002-12-31
10120,10202,SG,3357,Wildhaus,Wildhaus,Municipality,1,1000,First-time registration,1960-01-01,2239,Reassignment to other d/c,2002-12-31,2002-12-31
10121,10164,GR,3774,Soglio,Soglio,Municipality,1,1000,First-time registration,1960-01-01,2069,Reassignment to other d/c,2000-12-31,2000-12-31
10122,10162,GR,3734,Trin,Trin,Municipality,1,1000,First-time registration,1960-01-01,2054,Reassignment to other d/c,2000-12-31,2000-12-31
10123,10165,GR,3803,Braggio,Braggio,Municipality,1,1000,First-time registration,1960-01-01,2084,Reassignment to other d/c,2000-12-31,2000-12-31
10124,10164,GR,3791,Zuoz,Zuoz,Municipality,1,1000,First-time registration,1960-01-01,2082,Reassignment to other d/c,2000-12-31,2000-12-31
10125,10164,GR,3790,Silvaplana,Silvaplana,Municipality,1,1000,First-time registration,1960-01-01,2081,Reassignment to other d/c,2000-12-31,2000-12-31
10126,10164,GR,3789,Sils im Engadin/Segl,Sils im Engadin/Segl,Municipality,1,1000,First-time registration,1960-01-01,2080,Reassignment to other d/c,2000-12-31,2000-12-31
10127,10164,GR,3788,S-chanf,S-chanf,Municipality,1,1000,First-time registration,1960-01-01,2079,Reassignment to other d/c,2000-12-31,2000-12-31
10128,10164,GR,3787,St. Moritz,St. Moritz,Municipality,1,1000,First-time registration,1960-01-01,2078,Reassignment to other d/c,2000-12-31,2000-12-31
10129,10164,GR,3786,Samedan,Samedan,Municipality,1,1000,First-time registration,1960-01-01,2077,Reassignment to other d/c,2000-12-31,2000-12-31
10130,10164,GR,3785,La Punt-Chamues-ch,La Punt-Chamues-ch,Municipality,1,1000,First-time registration,1960-01-01,2076,Reassignment to other d/c,2000-12-31,2000-12-31
10131,10164,GR,3784,Pontresina,Pontresina,Municipality,1,1000,First-time registration,1960-01-01,2075,Reassignment to other d/c,2000-12-31,2000-12-31
10132,10164,GR,3783,Madulain,Madulain,Municipality,1,1000,First-time registration,1960-01-01,2074,Reassignment to other d/c,2000-12-31,2000-12-31
10133,10164,GR,3782,Celerina/Schlarigna,Celerina/Schlarigna,Municipality,1,1000,First-time registration,1960-01-01,2073,Reassignment to other d/c,2000-12-31,2000-12-31
10134,10165,GR,3805,Castaneda,Castaneda,Municipality,1,1000,First-time registration,1960-01-01,2086,Reassignment to other d/c,2000-12-31,2000-12-31
10135,10164,GR,3775,Stampa,Stampa,Municipality,1,1000,First-time registration,1960-01-01,2070,Reassignment to other d/c,2000-12-31,2000-12-31
10136,10165,GR,3806,Cauco,Cauco,Municipality,1,1000,First-time registration,1960-01-01,2087,Reassignment to other d/c,2000-12-31,2000-12-31
10137,10164,GR,3773,Castasegna,Castasegna,Municipality,1,1000,First-time registration,1960-01-01,2068,Reassignment to other d/c,2000-12-31,2000-12-31
10138,10164,GR,3771,Bondo,Bondo,Municipality,1,1000,First-time registration,1960-01-01,2067,Reassignment to other d/c,2000-12-31,2000-12-31
10139,10163,GR,3763,Sent,Sent,Municipality,1,1000,First-time registration,1960-01-01,2066,Reassignment to other d/c,2000-12-31,2000-12-31
10140,10163,GR,3761,Ftan,Ftan,Municipality,1,1000,First-time registration,1960-01-01,2064,Reassignment to other d/c,2000-12-31,2000-12-31
10141,10163,GR,3753,Tschlin,Tschlin,Municipality,1,1000,First-time registration,1960-01-01,2063,Reassignment to other d/c,2000-12-31,2000-12-31
10142,10163,GR,3752,Samnaun,Samnaun,Municipality,1,1000,First-time registration,1960-01-01,2062,Reassignment to other d/c,2000-12-31,2000-12-31
10143,10163,GR,3751,Ramosch,Ramosch,Municipality,1,1000,First-time registration,1960-01-01,2061,Reassignment to other d/c,2000-12-31,2000-12-31
10144,10163,GR,3746,Zernez,Zernez,Municipality,1,1000,First-time registration,1960-01-01,2060,Reassignment to other d/c,2000-12-31,2000-12-31
10145,10163,GR,3745,Tarasp,Tarasp,Municipality,1,1000,First-time registration,1960-01-01,2059,Reassignment to other d/c,2000-12-31,2000-12-31
10146,10163,GR,3744,Susch,Susch,Municipality,1,1000,First-time registration,1960-01-01,2058,Reassignment to other d/c,2000-12-31,2000-12-31
10147,10163,GR,3743,Lavin,Lavin,Municipality,1,1000,First-time registration,1960-01-01,2057,Reassignment to other d/c,2000-12-31,2000-12-31
10148,10163,GR,3742,Guarda,Guarda,Municipality,1,1000,First-time registration,1960-01-01,2056,Reassignment to other d/c,2000-12-31,2000-12-31
10149,10193,GR,3598,St. Martin,St. Martin,Municipality,1,1000,First-time registration,1960-01-01,1991,Reassignment to other d/c,2000-12-31,2000-12-31
10150,10164,GR,3781,Bever,Bever,Municipality,1,1000,First-time registration,1960-01-01,2072,Reassignment to other d/c,2000-12-31,2000-12-31
10151,10106,FR,2110,Villarsiviriaux,Villarsiviriaux,Municipality,1,1000,First-time registration,1960-01-01,1937,Abolition,2000-12-31,2000-12-31
10152,10167,GR,3901,Chur,Chur,Municipality,1,1000,First-time registration,1960-01-01,2117,Reassignment to other d/c,2000-12-31,2000-12-31
10153,10175,GR,3892,St. Antönien Ascharina,St. Antönien Ascharina,Municipality,1,1000,First-time registration,1960-01-01,2115,Reassignment to other d/c,2000-12-31,2000-12-31
10154,10175,GR,3891,Luzein,Luzein,Municipality,1,1000,First-time registration,1960-01-01,2114,Reassignment to other d/c,2000-12-31,2000-12-31
10155,10175,GR,3883,Saas,Saas,Municipality,1,1000,First-time registration,1960-01-01,2113,Reassignment to other d/c,2000-12-31,2000-12-31
10156,10175,GR,3882,Küblis,Küblis,Municipality,1,1000,First-time registration,1960-01-01,2112,Reassignment to other d/c,2000-12-31,2000-12-31
10157,10098,AR,3023,Speicher,Speicher,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10158,10175,GR,3862,Furna,Furna,Municipality,1,1000,First-time registration,1960-01-01,2108,Reassignment to other d/c,2000-12-31,2000-12-31
10159,10035,VS,6011,Zwischbergen,Zwischbergen,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10160,10175,GR,3861,Fideris,Fideris,Municipality,1,1000,First-time registration,1960-01-01,2107,Reassignment to other d/c,2000-12-31,2000-12-31
10161,10175,GR,3851,Davos,Davos,Municipality,1,1000,First-time registration,1960-01-01,2106,Reassignment to other d/c,2000-12-31,2000-12-31
10162,10104,FR,2228,Villars-sur-Glâne,Villars-sur-Glâne,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10163,10050,VD,5538,Villars-Tiercelin,Villars-Tiercelin,Municipality,1,1000,First-time registration,1960-01-01,2441,Reassignment to other d/c,2006-08-31,2006-08-31
10164,10165,GR,3804,Buseno,Buseno,Municipality,1,1000,First-time registration,1960-01-01,2085,Reassignment to other d/c,2000-12-31,2000-12-31
10165,10104,FR,2230,Villarsel-sur-Marly,Villarsel-sur-Marly,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10166,10162,GR,3733,Tamins,Tamins,Municipality,1,1000,First-time registration,1960-01-01,2053,Reassignment to other d/c,2000-12-31,2000-12-31
10167,10105,FR,2159,Villarvolard,Villarvolard,Municipality,1,1000,First-time registration,1960-01-01,3183,Abolition,2010-12-31,2010-12-31
10168,10165,GR,3836,Verdabbio,Verdabbio,Municipality,1,1000,First-time registration,1960-01-01,2099,Reassignment to other d/c,2000-12-31,2000-12-31
10169,10165,GR,3835,San Vittore,San Vittore,Municipality,1,1000,First-time registration,1960-01-01,2098,Reassignment to other d/c,2000-12-31,2000-12-31
10170,10165,GR,3834,Roveredo (GR),Roveredo (GR),Municipality,1,1000,First-time registration,1960-01-01,2097,Reassignment to other d/c,2000-12-31,2000-12-31
10171,10165,GR,3833,Leggia,Leggia,Municipality,1,1000,First-time registration,1960-01-01,2096,Reassignment to other d/c,2000-12-31,2000-12-31
10172,10165,GR,3832,Grono,Grono,Municipality,1,1000,First-time registration,1960-01-01,2095,Reassignment to other d/c,2000-12-31,2000-12-31
10173,10165,GR,3831,Cama,Cama,Municipality,1,1000,First-time registration,1960-01-01,2094,Reassignment to other d/c,2000-12-31,2000-12-31
10174,10165,GR,3823,Soazza,Soazza,Municipality,1,1000,First-time registration,1960-01-01,2093,Reassignment to other d/c,2000-12-31,2000-12-31
10175,10165,GR,3822,Mesocco,Mesocco,Municipality,1,1000,First-time registration,1960-01-01,2092,Reassignment to other d/c,2000-12-31,2000-12-31
10176,10165,GR,3821,Lostallo,Lostallo,Municipality,1,1000,First-time registration,1960-01-01,2091,Reassignment to other d/c,2000-12-31,2000-12-31
10177,10165,GR,3811,Selma,Selma,Municipality,1,1000,First-time registration,1960-01-01,2090,Reassignment to other d/c,2000-12-31,2000-12-31
10178,10165,GR,3810,Santa Maria in Calanca,Santa Maria in Calanca,Municipality,1,1000,First-time registration,1960-01-01,2089,Reassignment to other d/c,2000-12-31,2000-12-31
10179,10041,VD,5830,Villarzel,Villarzel,Municipality,1,1000,First-time registration,1960-01-01,2338,Change of area,2006-06-30,2006-06-30
10180,10104,FR,2229,Villarsel-le-Gibloux,Villarsel-le-Gibloux,Municipality,1,1000,First-time registration,1960-01-01,2172,Abolition,2002-12-31,2002-12-31
10181,10166,GR,3633,Fürstenau,Fürstenau,Municipality,1,1000,First-time registration,1960-01-01,2008,Reassignment to other d/c,2000-12-31,2000-12-31
10182,10163,GR,3741,Ardez,Ardez,Municipality,1,1000,First-time registration,1960-01-01,2055,Reassignment to other d/c,2000-12-31,2000-12-31
